First Name;Last Name;Phone Number(s);e-mail;CorpKey
Edward;Richardson;+32 37 441 142;edward.richardson@ing.com;OE27VJ
Amber;Wilkins;+32 40 530 866;amber.wilkins@ing.com;RE39PX
Aaron;Lopez;+32 82 488 366;aaron.lopez@ing.com;BA24DB
Ashlee;Smith;+32 96 413 648;ashlee.smith@ing.com;IU19AK
Glenn;Rose;+32 83 823 127;glenn.rose@ing.com;VV10RZ
Trevor;Montgomery;+32 77 640 175;trevor.montgomery@ing.com;CH86GB
Bryan;Smith;+32 70 899 796;bryan.smith@ing.com;KY09LU
Larry;Clay;+32 72 614 339;larry.clay@ing.com;AQ96HJ
Yolanda;Allen;+32 17 937 642;yolanda.allen@ing.com;QW46BO
Mary;Sims;+32 42 361 650;mary.sims@ing.com;NV26ZI
Neil;Cole;+32 60 753 914;neil.cole@ing.com;LB92JT
Walter;Thomas;+32 87 411 159;walter.thomas@ing.com;KW77MQ
Edward;Jones;+32 49 162 725;edward.jones@ing.com;US97BH
Sierra;Bowen;+32 60 864 378;sierra.bowen@ing.com;UW19HF
Luke;Lewis;+32 95 607 923;luke.lewis@ing.com;DA03WE
Erin;Johnson;+32 92 249 506;erin.johnson@ing.com;UC04RG
Cory;Griffin;+32 90 798 704;cory.griffin@ing.com;AY30HX
Amy;King;+32 57 879 731;amy.king@ing.com;VE89GR
Miguel;Fitzgerald;+32 81 609 125;miguel.fitzgerald@ing.com;JW23DX
Kristy;Peterson;+32 61 349 966;kristy.peterson@ing.com;OX92WK
Shaun;Stanley;+32 55 352 526;shaun.stanley@ing.com;SK73SF
Amanda;Watkins;+32 81 417 762;amanda.watkins@ing.com;NF11RC
Matthew;Pearson;+32 70 364 145;matthew.pearson@ing.com;OJ23DW
George;Cox;+32 42 588 379;george.cox@ing.com;LS37GK
Victor;Kirk;+32 52 212 907;victor.kirk@ing.com;BR07MA
Adam;Gross;+32 56 123 804;adam.gross@ing.com;XE66XY
Charles;Jones;+32 64 912 534;charles.jones@ing.com;GD21LT
John;Graham;+32 31 603 900;john.graham@ing.com;DI91EX
Renee;Morris;+32 93 484 745;renee.morris@ing.com;SU23PV
Thomas;Stein;+32 44 799 967;thomas.stein@ing.com;EO22RL
Kathryn;Johnson;+32 54 188 968;kathryn.johnson@ing.com;ZQ96HD
Brian;Schneider;+32 90 424 715;brian.schneider@ing.com;GZ63ZJ
Stuart;Blanchard;+32 36 498 714;stuart.blanchard@ing.com;ME15VS
Elizabeth;Sullivan;+32 71 848 879;elizabeth.sullivan@ing.com;BX78DQ
Joshua;Ortiz;+32 61 733 152;joshua.ortiz@ing.com;WZ33PK
Jason;Davis;+32 85 552 625;jason.davis@ing.com;LB50BD
Linda;Payne;+32 39 535 418;linda.payne@ing.com;YM74QA
Roger;Weaver;+32 55 440 293;roger.weaver@ing.com;IX99IG
Michael;Perkins;+32 25 740 464;michael.perkins@ing.com;ZT32XS
Bruce;Duncan;+32 29 812 394;bruce.duncan@ing.com;LX40PK
Tara;Doyle;+32 86 121 657;tara.doyle@ing.com;OA67OD
Micheal;Daugherty;+32 93 410 634;micheal.daugherty@ing.com;FD74SE
Steven;Gregory;+32 39 182 238;steven.gregory@ing.com;DZ00GU
Wendy;Mcneil;+32 60 246 698;wendy.mcneil@ing.com;MK51ZE
Julie;Robinson;+32 40 718 623;julie.robinson@ing.com;VS70FX
David;Ross;+32 12 996 329;david.ross@ing.com;YE69OD
Emily;Jenkins;+32 93 211 958;emily.jenkins@ing.com;GT46CN
Jean;Mcclure;+32 48 601 712;jean.mcclure@ing.com;BJ05GE
Sean;Taylor;+32 35 327 155;sean.taylor@ing.com;YN99CP
Kevin;Mcfarland;+32 38 992 433;kevin.mcfarland@ing.com;XB31DI
Brooke;Beard;+32 38 101 941;brooke.beard@ing.com;IJ46BG
Jonathan;Perkins;+32 40 162 749;jonathan.perkins@ing.com;JP16MR
Kari;Richardson;+32 61 114 792;kari.richardson@ing.com;FR95LT
Melissa;Navarro;+32 92 419 674;melissa.navarro@ing.com;MM89NE
Erika;Mayer;+32 40 966 767;erika.mayer@ing.com;VX34BU
Laura;Johnston;+32 45 536 782;laura.johnston@ing.com;TR86PU
Susan;Myers;+32 82 475 905;susan.myers@ing.com;TQ82DK
Charles;Richard;+32 16 903 403;charles.richard@ing.com;YY70TP
Tiffany;Meyer;+32 88 234 963;tiffany.meyer@ing.com;MR89JA
Herbert;Mayer;+32 46 706 338;herbert.mayer@ing.com;WE28AS
Alicia;Miller;+32 77 516 576;alicia.miller@ing.com;CA79SV
Frank;Soto;+32 36 762 289;frank.soto@ing.com;ZN19SM
Jeffrey;Walker;+32 63 519 517;jeffrey.walker@ing.com;YP75IY
Matthew;Martin;+32 28 541 291;matthew.martin@ing.com;GN98VV
Jeanette;Joseph;+32 76 994 185;jeanette.joseph@ing.com;XQ12CG
Daniel;Taylor;+32 94 953 438;daniel.taylor@ing.com;PC32HC
Joseph;Roberts;+32 37 332 359;joseph.roberts@ing.com;NW32UT
Luis;Montoya;+32 39 271 139;luis.montoya@ing.com;OF44VF
Lisa;Bauer;+32 61 758 143;lisa.bauer@ing.com;LD11XK
Ronnie;Patterson;+32 93 938 953;ronnie.patterson@ing.com;BB18AE
Nicholas;Wolf;+32 78 199 470;nicholas.wolf@ing.com;LW24YO
Cheryl;Nunez;+32 24 408 671;cheryl.nunez@ing.com;AF88AU
Curtis;Parker;+32 60 483 424;curtis.parker@ing.com;YB63BI
Karen;Gutierrez;+32 77 282 811;karen.gutierrez@ing.com;QE11MC
Donald;Adams;+32 36 485 277;donald.adams@ing.com;FR82JL
James;Stuart;+32 39 155 451;james.stuart@ing.com;BJ00BL
Victoria;Brown;+32 23 941 157;victoria.brown@ing.com;XW54NJ
Peter;Solomon;+32 26 725 904;peter.solomon@ing.com;FA71LC
Denise;Evans;+32 82 267 156;denise.evans@ing.com;SO15CH
Kathryn;Vazquez;+32 74 636 789;kathryn.vazquez@ing.com;HW42ET
Samuel;Robles;+32 43 127 967;samuel.robles@ing.com;VM73IX
Justin;Andersen;+32 16 422 735;justin.andersen@ing.com;OG96GP
Joel;Reed;+32 43 971 845;joel.reed@ing.com;AT85GV
Heather;Johnson;+32 39 175 785;heather.johnson@ing.com;NS99DB
Victoria;Riggs;+32 75 332 234;victoria.riggs@ing.com;PS15QF
Suzanne;Boyd;+32 15 237 456;suzanne.boyd@ing.com;NY06JR
Jimmy;Phillips;+32 46 778 346;jimmy.phillips@ing.com;RM12WQ
Alex;Williams;+32 82 207 662;alex.williams@ing.com;DC22WW
Spencer;Nichols;+32 68 477 710;spencer.nichols@ing.com;IW49DX
Brian;Rosales;+32 20 525 732;brian.rosales@ing.com;MO63ON
Joseph;Johnson;+32 91 873 878;joseph.johnson@ing.com;EV31MT
John;Caldwell;+32 39 644 552;john.caldwell@ing.com;MC56PR
Nicholas;Carpenter;+32 53 213 687;nicholas.carpenter@ing.com;ZZ68QD
Nicole;Scott;+32 67 443 120;nicole.scott@ing.com;ZW86KI
Gabrielle;Graham;+32 56 283 541;gabrielle.graham@ing.com;ND11TT
Sonia;Tyler;+32 79 217 144;sonia.tyler@ing.com;ZS99WD
Valerie;Sanchez;+32 58 437 568;valerie.sanchez@ing.com;KL45UU
Erika;Lloyd;+32 82 797 974;erika.lloyd@ing.com;FV54NT
Matthew;Richardson;+32 37 249 966;matthew.richardson@ing.com;HV82UB
Tyler;Fernandez;+32 31 766 127;tyler.fernandez@ing.com;RZ72IY
